"";"Binomial";"Wood.density..kg.m3.";"identifiant"
"451";"Alloxylon wickhamii";456;NA
"452";"Alluaudia procera";382,8;NA
"453";"Alniphyllum fortunei";382,666666666667;NA
"454";"Alnus acuminata";386,333333333333;NA
"455";"Alnus glutinosa";419,666666666667;NA
"456";"Alnus incana";439;NA
"457";"Alnus jorullensis";381;NA
"458";"Alnus nepalensis";409,666666666667;NA
"459";"Alnus nitida";370;NA
"460";"Alnus rubra";370;NA
"461";"Alnus sibirica";422;NA
"462";"Alnus trabeculosa";448;NA
"463";"Alphitonia excelsa";539,333333333333;NA
"464";"Alphitonia ferruginea";660;NA
"465";"Alphitonia macrocarpa";450;NA
"466";"Alphitonia moluccana";525;NA
"467";"Alphitonia petriei";443;NA
"468";"Alphitonia whitei";610;NA
"469";"Alphitonia zizyphoides";450;NA
"470";"Alphonsea elliptica";850;NA
"471";"Alphonsea javanica";540;NA
"472";"Alphonsea maingayi";790;NA
"473";"Alphonsea subdehiscens";790;NA
"474";"Alphonsea teysmannii";720;NA
"475";"Alseis blackiana";536;NA
"476";"Alseis floribunda";850;NA
"477";"Alseis peruviana";650;NA
"478";"Alseodaphne bancana";590;NA
"479";"Alseodaphne elongata";530;NA
"480";"Alseodaphne hainanensis";597;NA
"481";"Alseodaphne insignis";710;NA
"482";"Alseodaphne longipes";509;NA
"483";"Alseodaphne oblanceolata";430;NA
"484";"Alseodaphne peduncularis";625;NA
"485";"Alseodaphne pendulifolia";570;NA
"486";"Alseodaphne semicarpifolia";650;NA
"487";"Alseodaphne umbelliflora";420;NA
"488";"Alstonia actinophylla";346,5;NA
"489";"Alstonia angustifolia";613,333333333333;NA
"490";"Alstonia angustiloba";346,666666666667;NA
"491";"Alstonia boonei";321,4;"bouamir_p16_154"
"492";"Alstonia brassii";595,5;NA
"493";"Alstonia calophylla";470;NA
"494";"Alstonia congensis";325,5;NA
"495";"Alstonia constricta";650;NA
"496";"Alstonia glaucescens";320;NA
"497";"Alstonia macrophylla";640;NA
"498";"Alstonia muelleriana";682,75;NA
"499";"Alstonia pneumatophora";295;NA
"500";"Alstonia scholaris";382;NA
"501";"Alstonia spatulata";340;NA
"502";"Alstonia spectabilis";631,2;NA
"503";"Altingia chinensis";626;NA
"504";"Altingia excelsa";652,5;NA
"505";"Altingia obovata";700,25;NA
"506";"Altingia yunnanensis";637;NA
"507";"Alvaradoa amorphoides";580;NA
"508";"Amaioua guianensis";625;NA
"509";"Amanoa glaucophylla";800;NA
"510";"Amanoa guianensis";843;NA
"511";"Amanoa oblongifolia";830;NA
"512";"Ambelania acida";524,666666666667;NA
"513";"Ambelania quadrangularis";510;NA
"514";"Amblygonocarpus andongensis";916,5;NA
"515";"Amburana cearensis";524;NA
"516";"Amelanchier canadensis";660;NA
"517";"Amentotaxus argotaenia";654,25;NA
"518";"Amesiodendron chinense";834,5;NA
"519";"Amherstia nobilis";656,333333333333;NA
"520";"Amomyrtella guili";612;NA
"521";"Ampelocera edentula";699,5;NA
"522";"Ampelocera hottlei";830;NA
"523";"Ampelocera ruizii";648;NA
"524";"Amphimas ferrugineus";672,5;"bouamir_p16_213"
"525";"Amphimas indet";503;NA
"526";"Amphimas pterocarpoides";617,428571428571;NA
"527";"Amphipterygium adstringens";410;NA
"528";"Amphirrhox longifolia";710;NA
"529";"Amphitecna tuxtlensis";460;NA
"530";"Amyris elemifera";1050;NA
"531";"Amyris simplicifolia";900;NA
"532";"Amyxa pluricornis";630;NA
"533";"Anacardium excelsum";391,285714285714;NA
"534";"Anacardium giganteum";454;NA
"535";"Anacardium occidentale";446,5;NA
"536";"Anacardium parvifolium";525,333333333333;NA
"537";"Anacardium spruceanum";479,166666666667;NA
"538";"Anacardium tenuifolium";430;NA
"539";"Anadenanthera colubrina";866,142857142857;NA
"540";"Anadenanthera peregrina";883,333333333333;NA
"541";"Anaxagorea crassipetala";480;NA
"542";"Anaxagorea dolichocarpa";580;NA
