"";"Binomial";"Wood.density..kg.m3.";"identifiant"
"695";"Araucaria araucana";518;NA
"696";"Araucaria bidwillii";417;NA
"697";"Araucaria brasiliana";656;NA
"698";"Araucaria cunninghamii";451;NA
"699";"Araucaria hunsteinii";387;NA
"700";"Araucaria indet";420;NA
"701";"Arbutus menziesii";570;NA
"702";"Arbutus pavarii";760;NA
"703";"Arbutus unedo";650;NA
"704";"Archboldiodendron calosericeum";680;NA
"705";"Archeria traversii";742;NA
"706";"Archidendron bubalinum";380;NA
"707";"Archidendron clypearia";323,333333333333;NA
"708";"Archidendron ellipticum";450;NA
"709";"Archidendron grandiflorum";538;NA
"710";"Archidendron havilandii";330;NA
"711";"Archidendron hendersonii";525;NA
"712";"Archidendron jiringa";317;NA
"713";"Archidendron vaillantii";370;NA
"714";"Archidendropsis basaltica";1017,33333333333;NA
"715";"Archidendropsis thozetiana";827;NA
"716";"Archidendropsis xanthoxylon";525;NA
"717";"Archontophoenix alexandrae";827;NA
"718";"Archontophoenix cunninghamiana";827;NA
"719";"Archytaea vahlii";840;NA
"720";"Arctostaphylos tomentosa";720;NA
"721";"Ardisia barnesii";770;NA
"722";"Ardisia caudiferoides";550;NA
"723";"Ardisia densilepidotula";626,5;NA
"724";"Ardisia guianensis";620;NA
"725";"Ardisia lanceolata";440;NA
"726";"Ardisia macrophylla";510;NA
"727";"Ardisia solanacea";620;NA
"728";"Argusia argentea";350;NA
"729";"Aristotelia serrata";515;NA
"730";"Arthrophyllum diversifolium";365;NA
"731";"Arthrophyllum lancifolium";360;NA
"732";"Arthrophyllum ovatum";390;NA
"733";"Artocarpus altilis";432,5;NA
"734";"Artocarpus altissimus";340;NA
"735";"Artocarpus anisophyllus";605;NA
"736";"Artocarpus bracteatus";390;NA
"737";"Artocarpus chaplasha";459;NA
"738";"Artocarpus dadak";585;NA
"739";"Artocarpus elasticus";363,333333333333;NA
"740";"Artocarpus fretissi";510;NA
"741";"Artocarpus glaucus";580;NA
"742";"Artocarpus gomezianus";540;NA
"743";"Artocarpus heterophyllus";491,666666666667;NA
"744";"Artocarpus hirsutus";470;NA
"745";"Artocarpus incisus";320;NA
"746";"Artocarpus indet";461;NA
"747";"Artocarpus integer";551;NA
"748";"Artocarpus integra";560;NA
"749";"Artocarpus kemando";447,5;NA
"750";"Artocarpus lakoocha";640;NA
"751";"Artocarpus lanceaefolia";565;NA
"752";"Artocarpus lowii";540;NA
"753";"Artocarpus maingayi";480;NA
"754";"Artocarpus nitidus";480;NA
"755";"Artocarpus odoratissimus";550;NA
"756";"Artocarpus ovatus";610;NA
"757";"Artocarpus peduncularis";270;NA
"758";"Artocarpus reticulatus";380;NA
"759";"Artocarpus rigidus";512,666666666667;NA
"760";"Artocarpus sampor";732;NA
"761";"Artocarpus scortechinii";440;NA
"762";"Artocarpus styracifolius";507,666666666667;NA
"763";"Artocarpus tamaran";370;NA
"764";"Artocarpus teysmannii";400;NA
"765";"Artocarpus tonkinensis";466,666666666667;NA
"766";"Arytera divaricata";633;NA
"767";"Arytera littoralis";770;NA
"768";"Aspidosperma album";766,166666666667;NA
"769";"Aspidosperma araracanga";750;NA
"770";"Aspidosperma australe";740,4;NA
"771";"Aspidosperma capitatum";730;NA
"772";"Aspidosperma curranii";730;NA
"773";"Aspidosperma cuspa";830;NA
"774";"Aspidosperma cylindrocarpon";636,666666666667;NA
"775";"Aspidosperma decussatum";792;NA
"776";"Aspidosperma desmanthum";610;NA
"777";"Aspidosperma discolor";758;NA
"778";"Aspidosperma excelsum";792;NA
"779";"Aspidosperma indet";700;NA
"780";"Aspidosperma macrocarpon";710;NA
"781";"Aspidosperma marcgravianum";732,5;NA
"782";"Aspidosperma megalocarpon";777,4;NA
"783";"Aspidosperma megaphyllum";673;NA
"784";"Aspidosperma nitidum";763,5;NA
"785";"Aspidosperma oblongum";865;NA
"786";"Aspidosperma obscurinervium";860;NA
"787";"Aspidosperma parvifolium";781;NA
"788";"Aspidosperma peroba";650;NA
"789";"Aspidosperma polyneuron";738,428571428571;NA
"790";"Aspidosperma pyrifolium";790;NA
"791";"Aspidosperma quebracho-blanco";752,75;NA
"792";"Aspidosperma ramiflorum";710;NA
"793";"Aspidosperma rigidum";460;NA
"794";"Aspidosperma sandwithianum";792;NA
"795";"Aspidosperma sessiliflorum";791,5;NA
"796";"Aspidosperma spruceanum";753,333333333333;NA
"797";"Aspidosperma subincanum";820;NA
"798";"Aspidosperma tomentosum";820;NA
"799";"Aspidosperma verruculosum";940;NA
"800";"Asteranthos brasiliensis";670;NA
"801";"Asteropeia indet";861;NA
"802";"Asteropeia rhopaloides";802,666666666667;NA
"803";"Astrocaryum murumuru";508;NA
"804";"Astronia atro-viridis";540;NA
"805";"Astronia gracilis";400;NA
"806";"Astronia macrophylla";450;NA
"807";"Astronia spectabilis";450;NA
"808";"Astronium balansae";967,333333333333;NA
"809";"Astronium concinnum";1070;NA
"810";"Astronium fraxinifolium";850;NA
"811";"Astronium gracile";730;NA
"812";"Astronium graveolens";867,692307692308;NA
"813";"Astronium lecointei";790,333333333333;NA
"814";"Astronium ulei";703,5;NA
"815";"Astronium urundeuva";1003,16666666667;NA
"816";"Astrotrichilia indet";555;NA
"817";"Atalaya australiana";732;NA
"818";"Atalaya salicifolia";725,333333333333;NA
"819";"Atherosperma moschatum";505;NA
"820";"Athrotaxis selaginoides";346;NA
"821";"Atractocarpus fitzalanii";719;NA
"822";"Atractocarpus merikin";804;NA
"823";"Attalea butyracea";326;NA
"824";"Atuna racemosa";665;NA
"825";"Aucoumea klaineana";377,851851851852;NA
"826";"Aulacocalyx diervilleoides";564;NA
"827";"Auranticarpa rhombifolia";679;NA
"828";"Austrocedrus chilensis";426;NA
"829";"Austromatthaea elegans";730;NA
"830";"Austromuellera trinervia";594;NA
"831";"Autranella congolensis";751,777777777778;NA
"832";"Auxemma glazioviana";840;NA
"833";"Averrhoa bilimbi";500;NA
"834";"Averrhoa carambola";576,8;NA
"835";"Avicennia alba";586,666666666667;NA
"836";"Avicennia germinans";776,4;NA
"837";"Avicennia intermedia";640;NA
"838";"Avicennia marina";647,75;NA
"839";"Avicennia nitida";900;NA
"840";"Avicennia officinalis";605;NA
"841";"Avicennia tonduzii";640;NA
"842";"Azadirachta excelsa";505;NA
"843";"Azadirachta indica";640;NA
"844";"Baccaurea bracteata";635;NA
"845";"Baccaurea deflexa";570;NA
"846";"Baccaurea javanica";550;NA
"847";"Baccaurea kingii";720;NA
"848";"Baccaurea kunstleri";645;NA
"849";"Baccaurea macrocarpa";540;NA
"850";"Baccaurea minor";720;NA
"851";"Baccaurea motleyana";510;NA
"852";"Baccaurea parviflora";720;NA
"853";"Baccaurea polyneura";560;NA
"854";"Baccaurea racemosa";580;NA
"855";"Baccaurea reticulata";780;NA
"856";"Baccaurea sumatrana";605;NA
"857";"Baccharis latifolia";561;NA
"858";"Baccharis pilularis";590;NA
"859";"Backhousia bancroftii";838;NA
"860";"Backhousia citriodora";827;NA
"861";"Backhousia hughesii";870;NA
"862";"Backhousia myrtifolia";879,5;NA
"863";"Baeckea frutescens";810;NA
"864";"Bagassa guianensis";708,666666666667;NA
"865";"Baikiaea insignis";686,5;NA
"866";"Baikiaea plurijuga";760,75;NA
"867";"Baillonella djave";621;NA
"868";"Baillonella toxisperma";724,9;NA
"869";"Balanites aegyptiaca";674,333333333333;NA
"870";"Balanites aegyptiacus";650;NA
"871";"Balanites triflorus";661;NA
"872";"Balanops australiana";735;NA
"873";"Balfourodendron riedelianum";666,428571428571;NA
"874";"Balizia elegans";495;NA
"875";"Balizia pedicellaris";497;NA
"876";"Baloghia inophylla";618;NA
"877";"Banara arguta";750;NA
"878";"Banara guianensis";610;NA
"879";"Banara nitida";601,5;NA
"880";"Banksia aemula";550,8;NA
"881";"Banksia elderiana";764;NA
"882";"Banksia integrifolia";482;NA
"883";"Banksia marginata";468;NA
"884";"Banksia serrata";567;NA
"885";"Banksia verticillata";406;NA
"886";"Baphia kirkii";985;NA
"887";"Baphia nitida";559;NA
"888";"Barringtonia acutangula";524,666666666667;NA
"889";"Barringtonia asiatica";422,25;NA
"890";"Barringtonia calyptrata";462,5;NA
"891";"Barringtonia edulis";480;NA
"892";"Barringtonia macrostachya";600;NA
"893";"Barringtonia pendula";520;NA
"894";"Barringtonia racemosa";454;NA
"895";"Barringtonia rubra";500;NA
"896";"Barringtonia scortechinii";575;NA
"897";"Bastardiopsis densiflora";651;NA
"898";"Batesia floribunda";540;NA
"899";"Bathysa meridionalis";640;NA
"900";"Batocarpus amazonicus";533;NA
"901";"Bauhinia carronii";1197;NA
"902";"Bauhinia hookeri";1055;NA
"903";"Bauhinia longifolia";670;NA
"904";"Bauhinia malabarica";580;NA
"905";"Bauhinia petersiana";689;NA
"906";"Bauhinia purpurea";720;NA
"907";"Bauhinia racemosa";634;NA
"908";"Bauhinia tarapotensis";600;NA
"909";"Bauhinia variegata";653;NA
"910";"Beilschmiedia assamica";540;NA
"911";"Beilschmiedia bancroftii";561;NA
"912";"Beilschmiedia borneensis";470;NA
"913";"Beilschmiedia brasiliensis";585;NA
"914";"Beilschmiedia corbisieri";663;NA
"915";"Beilschmiedia curviramea";542;NA
"916";"Beilschmiedia diversiflora";648,5;NA
"917";"Beilschmiedia elliptica";702;NA
"918";"Beilschmiedia foxiana";720;NA
"919";"Beilschmiedia gemmiflora";460;NA
"920";"Beilschmiedia hutchinsoniana";603;NA
"921";"Beilschmiedia indet";606,285714285714;NA
"922";"Beilschmiedia insignis";500;NA
"923";"Beilschmiedia intermedia";514,75;NA
"924";"Beilschmiedia javanica";380;NA
"925";"Beilschmiedia kunstleri";490;NA
"926";"Beilschmiedia kweo";603,5;NA
"927";"Beilschmiedia letouzeyi";596;NA
"928";"Beilschmiedia louisii";738;NA
"929";"Beilschmiedia lucidula";500;NA
"930";"Beilschmiedia lumutensis";480;NA
"931";"Beilschmiedia madang";470;NA
"932";"Beilschmiedia mannii";569,666666666667;NA
"933";"Beilschmiedia membranifolia";534;NA
"934";"Beilschmiedia micrantha";380;NA
"935";"Beilschmiedia nitida";538;NA
"936";"Beilschmiedia oblongifolia";603;NA
"937";"Beilschmiedia obtusifolia";638,333333333333;NA
"938";"Beilschmiedia oligandra";631;NA
"939";"Beilschmiedia pahangensis";600;NA
"940";"Beilschmiedia pendula";503;NA
"941";"Beilschmiedia perakensis";590;NA
"942";"Beilschmiedia praecox";480;NA
"943";"Beilschmiedia tarairi";570;NA
"944";"Beilschmiedia tawa";699;NA
"945";"Beilschmiedia tooram";749,333333333333;NA
"946";"Beilschmiedia velutina";460;NA
"947";"Beilschmiedia zeylanica";480;NA
"948";"Bellucia grossularioides";597,5;NA
"949";"Bellucia imperialis";540;NA
"950";"Bellucia pentamera";485;NA
"951";"Berberis jobii";593;NA
"952";"Berberis vulgaris";689;NA
"953";"Berchemia discolor";846,5;NA
"954";"Berchemia zeyheri";863,5;NA
"955";"Berlinia acuminata";620;NA
"956";"Berlinia auriculata";660,5;NA
"957";"Berlinia bracteosa";603,4;NA
"958";"Berlinia confusa";602;NA
"959";"Berlinia grandiflora";626,181818181818;NA
"960";"Berlinia indet";591,5;NA
"961";"Berlinia niembaensis";680;NA
"962";"Berlinia viridicans";568;NA
"963";"Bernoullia flammea";250;NA
"964";"Berrya ammonilla";990;NA
"965";"Berrya cordifolia";770;NA
"966";"Bersama abyssinica";617,5;NA
"967";"Bersama swynnertonii";620;NA
"968";"Bertholletia excelsa";638;NA
"969";"Betula albosinensis";518;NA
"970";"Betula alleghaniensis";550;NA
"971";"Betula alnoides";551,5;NA
"972";"Betula austro-sinensis";630;NA
"973";"Betula costata";601;NA
"974";"Betula cylindrostachya";570;NA
"975";"Betula lenta";600;NA
"976";"Betula luminifera";549,25;NA
"977";"Betula neoalaskana";530;NA
"978";"Betula nigra";490;NA
"979";"Betula papyrifera";480;NA
"980";"Betula pendula";512,5;NA
"981";"Betula platyphylla";517,8;NA
"982";"Betula populifolia";450;NA
"983";"Betula pubescens";525;NA
"984";"Betula utilis";580;NA
"985";"Bhesa paniculata";655;NA
"986";"Billia columbiana";690;NA
"987";"Bischofia javanica";601,7;NA
"988";"Bischofia trifoliata";538;NA
"989";"Bixa arborea";370;NA
"990";"Bixa excelsa";320;NA
"991";"Bixa orellana";360;NA
"992";"Blakea subconnata";710;NA
"993";"Bleasdalea vitiensis";430;NA
"994";"Blepharidium mexicanum";500;NA
"995";"Blepharocalyx eggersii";726;NA
"996";"Blepharocalyx gigantea";600;NA
"997";"Blepharocalyx salicifolius";708,25;NA
"998";"Blepharocarya involucrigera";482,666666666667;NA
"999";"Blighia sapida";762;"bouamir_p16_199"
"1000";"Blighia unijugata";508;NA
"1001";"Blighia welwitschii";785,75;"bouamir_p16_269"
"1002";"Blumeodendron kurzii";530;NA
"1003";"Blumeodendron subcaudatum";600;NA
"1004";"Blumeodendron subrotundifolium";545;NA
"1005";"Blumeodendron tokbrai";555;NA
"1006";"Blumeodendron vernicosum";750;NA
"1007";"Bocageopsis multiflora";640,2;NA
"1008";"Bocoa indet";420;NA
"1009";"Bocoa prouacensis";1053,66666666667;NA
"1010";"Bocoa viridiflora";835;NA
"1011";"Boehmeria caudata";364;NA
"1012";"Bolusanthus speciosus";839;NA
"1013";"Bombacopsis flaviflora";344;NA
"1014";"Bombacopsis macrocalyx";560;NA
"1015";"Bombacopsis nervosa";470;NA
"1016";"Bombacopsis quinata";380;NA
"1017";"Bombax anceps";413;NA
"1018";"Bombax brevicuspe";407,666666666667;"bouamir_p16_21"
"1019";"Bombax buonopozense";324;"bouamir_p16_27"
"1020";"Bombax ceiba";313,5;NA
"1021";"Bombax costatum";374;NA
"1022";"Bombax indet";400;NA
"1023";"Bombax larutense";400;NA
"1024";"Bombax malabaricum";276;NA
"1025";"Bombax paraense";390;NA
"1026";"Bombax rhodognaphalon";384,5;NA
"1027";"Bombax valetorii";250;NA
"1028";"Borassus flabellifer";870;NA
"1029";"Borneodendron aenigmaticum";680;NA
"1030";"Borojoa patinoi";520;NA
"1031";"Boschia griffithii";650;NA
"1032";"Boscia salicifolia";594;NA
"1033";"Bosistoa transversa";839;NA
"1034";"Boswellia serrata";500;NA
"1035";"Bothriospora corymbosa";680;NA
"1036";"Botryarrhena pendula";734;NA
"1037";"Botryophora geniculata";440;NA
"1038";"Bouea macrophylla";680;NA
"1039";"Bouea microphylla";710;NA
"1040";"Bouea oppositifolia";745;NA
"1041";"Bougainvillea praecox";560;NA
"1042";"Bourreria purpusii";730;NA
"1043";"Bowdichia indet";740;NA
"1044";"Bowdichia nitida";803,333333333333;NA
"1045";"Bowdichia virgilioides";910;NA
"1046";"Brachychiton acerifolius";341,666666666667;NA
"1047";"Brachychiton carruthersii";232;NA
"1048";"Brachychiton discolor";246,75;NA
"1049";"Brachychiton diversifolius";387;NA
"1050";"Brachychiton gregorii";601;NA
"1051";"Brachychiton populneus";387;NA
"1052";"Brachyglottis repanda";645;NA
"1053";"Brachylaena huillensis";734,666666666667;NA
"1054";"Brachylaena hutchinsii";615;NA
"1055";"Brachylaena ramiflora";801,666666666667;NA
"1056";"Brachylaena rotundata";771;NA
"1057";"Brachystegia allenii";646;NA
"1058";"Brachystegia appendiculata";680;NA
"1059";"Brachystegia boehmii";626,5;NA
"1060";"Brachystegia cynometroides";568,7;NA
"1061";"Brachystegia eurycoma";602;NA
"1062";"Brachystegia glaucescens";827;NA
"1063";"Brachystegia indet";496;NA
"1064";"Brachystegia laurentii";499,6;NA
"1065";"Brachystegia leonensis";492,333333333333;NA
"1066";"Brachystegia mildbraedii";508,666666666667;NA
"1067";"Brachystegia nigerica";577;NA
"1068";"Brachystegia spiciformis";671,5;NA
"1069";"Brachystegia utilis";827;"upemba_p2_1"
"1070";"Brachystegia zenkeri";455;NA
"1071";"Brackenridgea hookeri";600;NA
"1072";"Bracteanthus glycycarpus";710;NA
"1073";"Brassaiopsis speciosa";300;NA
"1074";"Breonadia salicina";818;NA
"1075";"Breonia chinensis";341,166666666667;NA
"1076";"Breonia decidua";655;NA
"1077";"Breonia indet";681,5;NA
"1078";"Breonia keliravina";822;NA
"1079";"Breonia macrocarpa";440;NA
"1080";"Breonia madagascariensis";708;NA
"1081";"Breonia perrieri";765;NA
"1082";"Bretschneidera sinensis";537;NA
"1083";"Breviea sericea";481;NA
"1084";"Bridelia balansae";605,25;NA
"1085";"Bridelia exaltata";680,5;NA
"1086";"Bridelia glauca";440;NA
"1087";"Bridelia grandis";523;NA
"1088";"Bridelia insulana";542;NA
"1089";"Bridelia micrantha";508,142857142857;"bouamir_p3_406"
"1090";"Bridelia ndellensis";550,5;NA
"1091";"Bridelia ovata";600;NA
"1092";"Bridelia penangiana";465;NA
"1093";"Bridelia retusa";608;NA
"1094";"Bridelia tomentosa";665;NA
"1095";"Bridelia tulasneana";473;NA
"1096";"Brochoneura indet";584;NA
"1097";"Brombya platynema";611;NA
"1098";"Brosimum acutifolium";640,285714285714;NA
"1099";"Brosimum alicastrum";598,571428571429;NA
"1100";"Brosimum caloxylon";700;NA
"1101";"Brosimum costaricanum";665;NA
"1102";"Brosimum gaudichaudii";640;NA
"1103";"Brosimum guianense";843,5;NA
"1104";"Brosimum indet";680;NA
"1105";"Brosimum lactescens";655,6;NA
"1106";"Brosimum paraense";750;NA
"1107";"Brosimum parinarioides";630,625;NA
"1108";"Brosimum potabile";542,5;NA
"1109";"Brosimum rubescens";825,142857142857;NA
"1110";"Brosimum uleanum";680;NA
"1111";"Brosimum utile";505,785714285714;NA
"1112";"Broussonetia greveana";418;NA
"1113";"Broussonetia greveanus";425,333333333333;NA
"1114";"Broussonetia luzonica";500;NA
"1115";"Broussonetia papyrifera";290;NA
"1116";"Brownea indet";1210;NA
"1117";"Brownlowia argentata";453;NA
"1118";"Brownlowia peltata";470;NA
"1119";"Bruguiera cylindrica";720;NA
"1120";"Bruguiera exaristata";839;NA
"1121";"Bruguiera gymnorhiza";763,75;NA
"1122";"Bruguiera hainesii";820;NA
"1123";"Bruguiera parviflora";772;NA
"1124";"Bruguiera sexangula";740;NA
"1125";"Bruinsmia styracoides";380;NA
"1126";"Brunellia comocladifolia";300;NA
"1127";"Brunellia costaricensis";322,5;NA
"1128";"Buchanania amboinensis";360;NA
"1129";"Buchanania angustifolia";508;NA
"1130";"Buchanania arborescens";450,6;NA
"1131";"Buchanania heterophylla";284;NA
"1132";"Buchanania insignis";430;NA
"1133";"Buchanania lanzan";392,5;NA
"1134";"Buchanania latifolia";460;NA
"1135";"Buchanania lucida";500;NA
"1136";"Buchanania macrocarpa";277;NA
"1137";"Buchanania obovata";405;NA
"1138";"Buchanania sessilifolia";425;NA
"1139";"Buchanania versteeghii";420;NA
"1140";"Buchenavia grandis";755;NA
"1141";"Buchenavia huberi";790;NA
"1142";"Buchenavia indet";730;NA
"1143";"Buchenavia ochroprumna";690;NA
"1144";"Buchenavia oxycarpa";713,333333333333;NA
"1145";"Buchenavia pallidovirens";820;NA
"1146";"Buchenavia parvifolia";818;NA
"1147";"Buchenavia tetraphylla";617,25;NA
"1148";"Buchenavia viridiflora";775;NA
"1149";"Bucida buceras";766,666666666667;NA
"1150";"Buckinghamia celsissima";787,333333333333;NA
"1151";"Buddleja americana";520;NA
"1152";"Buddleja asiatica";280;NA
"1153";"Buddleja nitida";520;NA
"1154";"Bulnesia arborea";943,333333333333;NA
"1155";"Bulnesia sarmientoi";1013,5;NA
"1156";"Bunchosia argentea";650;NA
"1157";"Bunchosia palmeri";740;NA
"1158";"Burckella macropoda";530;NA
"1159";"Burckella obovata";564,5;NA
"1160";"Burckella polymera";570;NA
"1161";"Burckella poolei";480;NA
"1162";"Burdachia duckei";840;NA
"1163";"Burdachia prismatocarpa";730;NA
"1164";"Burkea africana";612,5;NA
"1165";"Burkillanthus malaccensis";730;NA
"1166";"Burretiodendron hsienmu";926,5;NA
"1167";"Bursaria occidentalis";592;NA
"1168";"Bursera excelsa";350;NA
"1169";"Bursera graveolens";320;NA
"1170";"Bursera heteresthes";400;NA
"1171";"Bursera indica";250;NA
"1172";"Bursera instabilis";240;NA
"1173";"Bursera simaruba";305;NA
"1174";"Bussea occidentalis";791,666666666667;NA
"1175";"Butea monosperma";433,333333333333;NA
"1176";"Buxus rolfei";680;NA
"1177";"Buxus sempervirens";780;NA
"1178";"Buxus wallichiana";706;NA
"1179";"Byrsonima aerugo";628,5;NA
"1180";"Byrsonima arthropoda";620;NA
"1181";"Byrsonima coccolobaefolia";620;NA
"1182";"Byrsonima coriacea";620;NA
"1183";"Byrsonima crassifolia";584;NA
"1184";"Byrsonima crispa";580;NA
"1185";"Byrsonima densa";620;NA
"1186";"Byrsonima indet";720;NA
"1187";"Byrsonima japurensis";620;NA
"1188";"Byrsonima laevigata";620;NA
"1189";"Byrsonima lancifolia";660;NA
"1190";"Byrsonima obversa";620;NA
"1191";"Byrsonima sericea";780;NA
"1192";"Byrsonima spicata";613,666666666667;NA
"1193";"Byrsonima stipulacea";722,666666666667;NA
"1194";"Byrsonima verbascifolia";750;NA
"1195";"Cabralea canjerana";532,166666666667;NA
"1196";"Cadellia pentastylis";951;NA
"1197";"Caesalpinia caladenia";910;NA
"1198";"Caesalpinia coriaria";1137,5;NA
"1199";"Caesalpinia echinata";890;NA
"1200";"Caesalpinia eriostachys";730;NA
"1201";"Caesalpinia ferrea";1170;NA
"1202";"Caesalpinia glabrata";950;NA
"1203";"Caesalpinia granadillo";1030;NA
"1204";"Caesalpinia indet";1050;NA
"1205";"Caesalpinia paraguariensis";1052,66666666667;NA
"1206";"Caesalpinia platyloba";1030;NA
"1207";"Caesalpinia pluviosa";890;NA
"1208";"Caesalpinia pulcherrima";840;NA
"1209";"Caesalpinia sappan";834,5;NA
"1210";"Caesalpinia sclerocarpa";1390;NA
"1211";"Calatola costaricensis";565,5;NA
"1212";"Calatola laevigata";760;NA
"1213";"Caldcluvia australiensis";494,2;NA
"1214";"Caldcluvia celebica";390;NA
"1215";"Caldcluvia indet";577;NA
"1216";"Caldcluvia myriantha";300;NA
"1217";"Caldcluvia paniculata";525;NA
"1218";"Caldcluvia paniculosa";560,2;NA
"1219";"Caldcluvia papuana";700;NA
"1220";"Calliandra calothyrsus";580;NA
"1221";"Calliandra guildingii";850;NA
"1222";"Calliandra seleri";980;NA
"1223";"Calliandra trinervia";820;NA
"1224";"Calliandra tweediei";850;NA
"1225";"Callicarpa furfuracea";300;NA
"1226";"Callicarpa pentandra";340;NA
"1227";"Callicarpa tomentosa";410;NA
"1228";"Callicoma serratifolia";495;NA
"1229";"Callistemon lanceolatus";802;NA
"1230";"Callistemon phoeniceus";846;NA
"1231";"Callistemon salignus";839;NA
"1232";"Callistemon viminalis";689;NA
"1233";"Callisthene fasciculata";740;NA
